#{"t_start": 1682276819.5253143, "env_id": null}
r,l,t
4100,4892,31.179997
18300,12806,91.454351
26200,13852,156.808685
27800,8619,194.167729
23200,8147,230.981362
24000,11273,286.412821
4400,5419,311.960845
64900,13292,369.726696
47700,7382,402.636201
20600,8715,440.945719
41800,11951,499.491793
10300,9585,547.069671
62800,15709,622.425429
3800,5425,648.061002
39900,10342,698.112247
5000,5980,725.817513
18300,10079,775.935122
15400,8694,821.144091
56000,11962,876.132794
3900,5208,902.497625
5400,6848,948.062606
65900,11411,1006.275815
61100,15246,1081.235651
12900,10186,1131.292816
28200,8273,1170.92188
41100,15252,1247.340763
38000,11482,1301.975284
28800,12375,1362.844305
39700,12747,1424.664495
26800,10631,1473.776589
50200,15380,1543.386015
57800,13108,1599.102322
35100,10921,1649.718612
5000,5882,1674.259115
5700,6213,1700.050072
